pattern,unit,book
Is there a little cash or a lot of cash in the wallet?,UNIT 6,Book 7
Where are the cards?,UNIT 6,Book 7
nan,UNIT 6,Book 7
"If you have a lot of money, what are you?",UNIT 6,Book 7
"If you have little money, what are you?",UNIT 6,Book 7
Are you rich or poor?,UNIT 6,Book 7
Do you want to be rich or poor?,UNIT 6,Book 7
Is Kim Kardashian rich or poor?,UNIT 6,Book 7
Is this woman rich or poor?,UNIT 6,Book 7
Is this man rich or poor?,UNIT 6,Book 7
nan,UNIT 6,Book 7
How do you prefer to pay?,UNIT 6,Book 7
Do you have a card?,UNIT 6,Book 7
Do you buy by card?,UNIT 6,Book 7
How do you prefer to pay?,UNIT 6,Book 7
How is he buying lemonade?,UNIT 6,Book 7
How is he buying the snacks?,UNIT 6,Book 7
How is she paying?,UNIT 6,Book 7
Do you have cash with you?,UNIT 6,Book 7
How do you pay?,UNIT 6,Book 7
Do you buy in cash?,UNIT 6,Book 7
Do you pay with a watch?,UNIT 6,Book 7
Do you buy with a phone?,UNIT 6,Book 7
How can you pay in Żabka supermarket?,UNIT 6,Book 7
How do you pay for online shopping?,UNIT 6,Book 7
What is the best way to pay?,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
Do you have a bank account?,UNIT 6,Book 7
Do you have a bank account on the phone?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Is there a lot or a little money on the account?,UNIT 6,Book 7
Which bank has your bank account?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Do you have a piggy bank?,UNIT 6,Book 7
What can you see in a piggy bank?,UNIT 6,Book 7
What can you see in a piggy bank?,UNIT 6,Book 7
"Do you have a lot, a little, or no money in your piggy bank?",UNIT 6,Book 7
What is he putting in the piggy bank?,UNIT 6,Book 7
nan,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
What can you see in a cash machine?,UNIT 6,Book 7
Is there a cash machine near your house?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Is Trump broke or loaded?,UNIT 6,Book 7
Is the person with the blue wallet loaded or broke?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Is the person with the brown wallet loaded or broke?,UNIT 6,Book 7
Are you broke or loaded?,UNIT 6,Book 7
Is the rhino loaded or broke?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Do you like spending money?,UNIT 6,Book 7
Do you like to spend money on online shopping?,UNIT 6,Book 7
Is the man spending or saving money?,UNIT 6,Book 7
Do you spend money on books?,UNIT 6,Book 7
Do you spend money on candy?,UNIT 6,Book 7
Do you spend money on clothes?,UNIT 6,Book 7
Do you spend money on food?,UNIT 6,Book 7
Do you spend money on fun activities?,UNIT 6,Book 7
Do you spend money on games?,UNIT 6,Book 7
Do you spend money on makeup?,UNIT 6,Book 7
Do you spend money on shoes?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Are you good at or bad at saving money?,UNIT 6,Book 7
Do you save money in a bank account?,UNIT 6,Book 7
Do you save money in a jar?,UNIT 6,Book 7
Do you save money in a piggy bank?,UNIT 6,Book 7
Do you save money in a safe?,UNIT 6,Book 7
Do you save money under the mattress?,UNIT 6,Book 7
Is he saving money or spending money?,UNIT 6,Book 7
Do you have a safe at home?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you earn money online?,UNIT 6,Book 7
Do doctors earn a lot or a little money?,UNIT 6,Book 7
Do footballers earn a lot or a little money?,UNIT 6,Book 7
Do gamers earn a lot or a little money?,UNIT 6,Book 7
Do rappers earn a lot or a little money?,UNIT 6,Book 7
Do teachers earn a lot or a little money?,UNIT 6,Book 7
Do you want to earn a lot of money?,UNIT 6,Book 7
Do YouTubers earn a lot or a little money?,UNIT 6,Book 7
Who earns more money: men or women?,UNIT 6,Book 7
nan,UNIT 6,Book 7
What is 'buy' and 'sell' in Polish?,UNIT 6,Book 7
"What is the man on the left doing, and what is the man on the right doing?",UNIT 6,Book 7
What does the man want to buy?,UNIT 6,Book 7
Is it cheap or expensive to buy a house?,UNIT 6,Book 7
What did the woman buy?,UNIT 6,Book 7
Is the person buying or selling from a vending machine?,UNIT 6,Book 7
Where do you buy your shoes?,UNIT 6,Book 7
Is the woman buying or selling online?,UNIT 6,Book 7
Does a customer sell or buy items?,UNIT 6,Book 7
"Who is the customer, and who is the seller?",UNIT 6,Book 7
"What is the seller selling, and what is the customer buying?",UNIT 6,Book 7
"Who is the seller, and who is the customer?",UNIT 6,Book 7
nan,UNIT 6,Book 7
Do you get a lot or a little pocket money?,UNIT 6,Book 7
"Do you get a little, a lot, or no pocket money?",UNIT 6,Book 7
Who gives you pocket money?,UNIT 6,Book 7
How much pocket money should you get a month?,UNIT 6,Book 7
nan,UNIT 6,Book 7
What is the difference between lend and borrow?,UNIT 6,Book 7
What is she doing?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Do you borrow money from your friends?,UNIT 6,Book 7
"When you have no money, do you borrow or lend?",UNIT 6,Book 7
"When you have money, do you borrow or lend money?",UNIT 6,Book 7
Do you lend money to your friends?,UNIT 6,Book 7
Do you lend money to your friends?,UNIT 6,Book 7
Do you lend your phone to your friends?,UNIT 6,Book 7
Do you lend your phone to your friends?,UNIT 6,Book 7
Can I borrow 20 dollars from you?,UNIT 6,Book 7
What is he doing?,UNIT 6,Book 7
What is she doing?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money babysitting young kids?,UNIT 6,Book 7
Have you ever babysat young kids?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money vlogging and YouTubing?,UNIT 6,Book 7
Have you ever vlogged and YouTubed?,UNIT 6,Book 7
Have you ever vlogged and YouTubed?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money washing the car?,UNIT 6,Book 7
Do you wash the car at home?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money tutoring?,UNIT 6,Book 7
Have you ever tutored?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money selling clothes online?,UNIT 6,Book 7
Have you ever sold clothes online?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money online gaming?,UNIT 6,Book 7
Do you play online games?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money summer gardening?,UNIT 6,Book 7
Do you garden at home in the summer?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money doing homework?,UNIT 6,Book 7
Have you ever done your friends' homework?,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money selling lemonade?,UNIT 6,Book 7
Have you ever sold lemonade?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money dog walking?,UNIT 6,Book 7
Have you ever walked the dog?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money autumn gardening?,UNIT 6,Book 7
Do you do autumn gardening at home?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money delivering pizza?,UNIT 6,Book 7
Would you like to deliver pizza?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money shovelling the snow?,UNIT 6,Book 7
Have you ever shovelled the snow?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money working as a waiter/waitress?,UNIT 6,Book 7
Would you like to work as a waiter/waitress?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money cleaning the house?,UNIT 6,Book 7
Do you clean the house?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money making jewellery?,UNIT 6,Book 7
Have you ever made jewellery?,UNIT 6,Book 7
nan,UNIT 6,Book 7
Can you make money petsitting?,UNIT 6,Book 7
Have you ever pet sat any pets?,UNIT 6,Book 7
Would you like to be a petsitter?,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 7,Book 7
nan,UNIT 7,Book 7
What does 'DIY' mean?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Do you have an axe at home?,UNIT 7,Book 7
What do you use a saw for?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
What is he holding in his hand?,UNIT 7,Book 7
What is the axe doing?,UNIT 7,Book 7
What are they?,UNIT 7,Book 7
Do you have pliers at home?,UNIT 7,Book 7
What do we use pliers for?,UNIT 7,Book 7
What is he gripping?,UNIT 7,Book 7
What is he gripping?,UNIT 7,Book 7
Are pliers dangerous tools?,UNIT 7,Book 7
Would you like a pliers chain?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a shovel at home?,UNIT 7,Book 7
Do you shovel snow in the winter?,UNIT 7,Book 7
What do we use shovels for?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
What is she doing?,UNIT 7,Book 7
What shovel color do you like?,UNIT 7,Book 7
Is it a new or an old shovel?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a hammer at home?,UNIT 7,Book 7
Are hammers light or heavy?,UNIT 7,Book 7
What do you use a hammer for?,UNIT 7,Book 7
What is the hammer hitting?,UNIT 7,Book 7
What is the hammer hitting?,UNIT 7,Book 7
What is the hammer hitting?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a drill at home?,UNIT 7,Book 7
What do we use a drill for?,UNIT 7,Book 7
Is he drilling or making tea?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a saw at home?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a screwdriver at home?,UNIT 7,Book 7
Is it easier to use a drill or a screwdriver?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a chainsaw at home?,UNIT 7,Book 7
Can you use a chainsaw?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
What do you prefer: a paintbrush or a paint roller?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a tape measure at home?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
Can you use a tape measure?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a ladder at home?,UNIT 7,Book 7
Where is the man?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is it?,UNIT 7,Book 7
Do you have a toolbox at home?,UNIT 7,Book 7
What do you use a toolbox for?,UNIT 7,Book 7
Is it a big or small toolbox?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
Who does the plumbing at home?,UNIT 7,Book 7
Is it easy or difficult to do the plumbing?,UNIT 7,Book 7
Is it interesting or boring to be a plumber?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
Can you do the plumbing?,UNIT 7,Book 7
Do you want to be a plumber?,UNIT 7,Book 7
What do you need to do the plumbing?,UNIT 7,Book 7
What is she doing?,UNIT 7,Book 7
Where is she drilling?,UNIT 7,Book 7
Is it easy or difficult to do the plumbing?,UNIT 7,Book 7
Can you drill?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What do you need to drill?,UNIT 7,Book 7
What is the bear doing?,UNIT 7,Book 7
Where are they changing the bulb?,UNIT 7,Book 7
Can you change the bulb?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who paints at home?,UNIT 7,Book 7
Is it easy or difficult to change the bulb?,UNIT 7,Book 7
Is it safe or dangerous to change the bulb?,UNIT 7,Book 7
Who changes the bulb at home?,UNIT 7,Book 7
What do you need to change a bulb?,UNIT 7,Book 7
What is she doing?,UNIT 7,Book 7
What color do you like?,UNIT 7,Book 7
Is it easy or difficult to paint the walls?,UNIT 7,Book 7
Can you paint walls?,UNIT 7,Book 7
Is painting fun or boring?,UNIT 7,Book 7
Is he painting inside or outside?,UNIT 7,Book 7
Where is he painting?,UNIT 7,Book 7
Where is she painting?,UNIT 7,Book 7
Who painted your bedroom?,UNIT 7,Book 7
What is he painting?,UNIT 7,Book 7
What do you need to paint a wall?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
Who puts up the shelves at home?,UNIT 7,Book 7
Is it easy or difficult to put up the shelves?,UNIT 7,Book 7
Can you put up the shelves?,UNIT 7,Book 7
Do you have shelves in your dining room?,UNIT 7,Book 7
Do you have shelves in your living room?,UNIT 7,Book 7
What do you need to put up shelves?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
Is it easy or difficult to panel the floor?,UNIT 7,Book 7
Do you have wooden panels at home?,UNIT 7,Book 7
Can you panel the floor?,UNIT 7,Book 7
Who can panel the floor at home?,UNIT 7,Book 7
What tools do you need to panel the floor?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
Who plasters the wallpaper at home?,UNIT 7,Book 7
Can you plaster the wallpaper?,UNIT 7,Book 7
Which is easier: painting the wall or plastering the wallpaper?,UNIT 7,Book 7
Do you prefer painting the wall or wallpaper?,UNIT 7,Book 7
"Is the wallpaper striped, spotted, or flowery?",UNIT 7,Book 7
Is it easy or difficult to plaster the wallpaper?,UNIT 7,Book 7
What do you need to plaster the wallpaper?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
What is he doing?,UNIT 7,Book 7
Can you install the door?,UNIT 7,Book 7
Is it easy or difficult to install the door?,UNIT 7,Book 7
Is he installing a real or fake door?,UNIT 7,Book 7
What color door do you have installed in your bedroom?,UNIT 7,Book 7
Who installed the doors in your house?,UNIT 7,Book 7
What tools do you need to install the doors?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
Is he tiling with big or small tiles?,UNIT 7,Book 7
Can you tile the walls?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
Is it easy or difficult to tile the floors?,UNIT 7,Book 7
Do you have tiles in your bathroom? What color are they?,UNIT 7,Book 7
What is he tiling?,UNIT 7,Book 7
Who does the tiling in your house?,UNIT 7,Book 7
Is it easy or difficult to tile the floors?,UNIT 7,Book 7
What is the man tiling?,UNIT 7,Book 7
Who tiles the floors and walls at home?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is the bear doing?,UNIT 7,Book 7
What is he sawing the wood with?,UNIT 7,Book 7
Do you saw wood at home?,UNIT 7,Book 7
Can you saw food?,UNIT 7,Book 7
Is he sawing the wood for the winter or the summer?,UNIT 7,Book 7
Is he sawing wood with a normal saw or an electrical saw?,UNIT 7,Book 7
What tools do you need to saw?,UNIT 7,Book 7
Who saws the wood at home?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is the woman doing?,UNIT 7,Book 7
Who hangs the pictures at home?,UNIT 7,Book 7
Can you hang pictures on the wall?,UNIT 7,Book 7
Do you have many pictures hanging on your wall at home?,UNIT 7,Book 7
Is it easy or difficult to hang pictures on the wall?,UNIT 7,Book 7
Have you hung any pictures on your bedroom wall?,UNIT 7,Book 7
Where are the pictures hanging?,UNIT 7,Book 7
Do you prefer no pictures or many pictures on the wall?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Where are the pictures hanging?,UNIT 7,Book 7
What tools do you need to hang pictures?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
Who fixes the appliances?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
Who fixes the appliances at home?,UNIT 7,Book 7
What is the man doing?,UNIT 7,Book 7
nan,UNIT 7,Book 7
What tools must an electrician have?,UNIT 7,Book 7
nan,UNIT 7,Book 7
nan,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does a builder do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does he do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does a handyman do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does a painter do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does a roofer do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
Who is he?,UNIT 7,Book 7
What does an electrician do?,UNIT 7,Book 7
nan,UNIT 7,Book 7
nan,UNIT 7,Book 7
nan,UNIT 7,Book 7
What is he gripping?,UNIT 7,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the accordion?,UNIT 8,Book 7
Would you like to play the accordion?,UNIT 8,Book 7
Is it easy or difficult to play the accordion?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the bagpipes?,UNIT 8,Book 7
Would you like to play the bagpipes?,UNIT 8,Book 7
Is it easy or difficult to play the bagpipes?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the banjo?,UNIT 8,Book 7
Would you like to play the banjo?,UNIT 8,Book 7
Is it easy or difficult to play the banjo?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play bells?,UNIT 8,Book 7
Would you like to play music bells?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the cello?,UNIT 8,Book 7
Would you like to play the cello?,UNIT 8,Book 7
Is it easy or difficult to play the cello?,UNIT 8,Book 7
Who is playing the cello?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What are they?,UNIT 8,Book 7
Can you play chimes?,UNIT 8,Book 7
Would you like to play with chimes?,UNIT 8,Book 7
Is it easy or difficult to play with chimes?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the conga?,UNIT 8,Book 7
Would you like to play the conga?,UNIT 8,Book 7
Is it easy or difficult to play the conga?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What are they?,UNIT 8,Book 7
Can you play the cymbals?,UNIT 8,Book 7
Would you like to play with cymbals?,UNIT 8,Book 7
Is it easy or difficult to play the cymbals?,UNIT 8,Book 7
Who is playing the cymbals?,UNIT 8,Book 7
Who is playing the cymbals?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the djembe?,UNIT 8,Book 7
Would you like to play the djembe drum?,UNIT 8,Book 7
Is it easy or difficult to play the djembe?,UNIT 8,Book 7
How many djembes can you see?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the drum set?,UNIT 8,Book 7
Would you like to play a drum set?,UNIT 8,Book 7
Is it easy or difficult to play the drum set?,UNIT 8,Book 7
Do you have a drum set at home?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the electric guitar?,UNIT 8,Book 7
Would you like to play the electric guitar?,UNIT 8,Book 7
Is it easy or difficult to play the guitar?,UNIT 8,Book 7
Which is better: a normal or electric guitar?,UNIT 8,Book 7
Who is playing the guitar?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the flute?,UNIT 8,Book 7
Would you like to play the flute?,UNIT 8,Book 7
Is it easy or difficult to play the flute?,UNIT 8,Book 7
Do you play the flute in school?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the gong?,UNIT 8,Book 7
Would you like to play with gongs?,UNIT 8,Book 7
Is it easy or difficult to play the gong?,UNIT 8,Book 7
Is he hitting the gong softly or hard?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the guitar?,UNIT 8,Book 7
Would you like to play the guitar?,UNIT 8,Book 7
Is it easy or difficult to play the guitar?,UNIT 8,Book 7
Do you have a guitar at home?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the harmonica?,UNIT 8,Book 7
Would you like to play the harmonica?,UNIT 8,Book 7
Is it easy or difficult to play the harmonica?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the harp?,UNIT 8,Book 7
Would you like to play the harp?,UNIT 8,Book 7
Is it easy or difficult to play the harp?,UNIT 8,Book 7
Is a harp big or small?,UNIT 8,Book 7
Who is playing the harp?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the keyboard?,UNIT 8,Book 7
Would you like to play the keyboard?,UNIT 8,Book 7
Is it easy or difficult to play the keyboard?,UNIT 8,Book 7
Do you have a keyboard at home?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the piano?,UNIT 8,Book 7
Would you like to play the piano?,UNIT 8,Book 7
Is it easy or difficult to play the piano?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What are they?,UNIT 8,Book 7
Can you play with rattles?,UNIT 8,Book 7
Would you like to play the rattles?,UNIT 8,Book 7
Is it easy or difficult to play the rattles?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the tambourine?,UNIT 8,Book 7
Do you want to play the tambourine?,UNIT 8,Book 7
Is it a normal or electric tambourine?,UNIT 8,Book 7
Is it easy or difficult to play the tambourine?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the triangle?,UNIT 8,Book 7
Would you like to play the triangle?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Is it easy or difficult to play the triangle?,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the trumpet?,UNIT 8,Book 7
Would you like to play the trumpet?,UNIT 8,Book 7
Is it easy or difficult to play the trumpet?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What are they?,UNIT 8,Book 7
Can you play the castanets?,UNIT 8,Book 7
Would you like to play the castanets?,UNIT 8,Book 7
Is it easy or difficult to play the castanets?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the violin?,UNIT 8,Book 7
Would you like to play the violin?,UNIT 8,Book 7
Is it easy or difficult to play the violin?,UNIT 8,Book 7
What are they playing?,UNIT 8,Book 7
Who is playing the violin?,UNIT 8,Book 7
Who is playing the violin?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the xylophone?,UNIT 8,Book 7
Would you like to play the xylophone?,UNIT 8,Book 7
Is it easy or difficult to play the xylophone?,UNIT 8,Book 7
nan,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
Can you play the ukulele?,UNIT 8,Book 7
Would you like to play the ukulele?,UNIT 8,Book 7
Is it easy or difficult to play the ukulele?,UNIT 8,Book 7
Is it an old or new ukulele?,UNIT 8,Book 7
Which is bigger: a guitar or a ukulele?,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you see paintings and art?,UNIT 8,Book 7
Is there an art gallery near your house?,UNIT 8,Book 7
Would you like to visit an art gallery?,UNIT 8,Book 7
Are art galleries interesting or boring?,UNIT 8,Book 7
Have you ever visited an art gallery?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you see a music concert?,UNIT 8,Book 7
Would you like to visit a concert hall?,UNIT 8,Book 7
Is visiting concert halls interesting or boring?,UNIT 8,Book 7
Have you ever visited a concert hall?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you watch films?,UNIT 8,Book 7
Is there a cinema/movie theatre near your house?,UNIT 8,Book 7
Would you like to go to the cinema/movie theatre this weekend?,UNIT 8,Book 7
Do you prefer watching films at home or at the cinema/movie theatre?,UNIT 8,Book 7
Where do you like to sit in a cinema?,UNIT 8,Book 7
Have you ever visited a private cinema/movie theatre?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you go to see an opera concert?,UNIT 8,Book 7
Is there an opera hall near your house?,UNIT 8,Book 7
Is there an opera hall near your house?,UNIT 8,Book 7
Would you like to go for an opera concert?,UNIT 8,Book 7
Are opera shows interesting or boring?,UNIT 8,Book 7
Have you ever seen an opera show?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you go to see an exhibition?,UNIT 8,Book 7
Is there a museum near where you live?,UNIT 8,Book 7
Would you like to visit a museum?,UNIT 8,Book 7
Is visiting museums interesting or boring?,UNIT 8,Book 7
Are museums interesting or boring?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Where can you see plays and performances?,UNIT 8,Book 7
Is there a school theatre in your school?,UNIT 8,Book 7
Is there a theatre near your house?,UNIT 8,Book 7
Would you like to go and watch a play in the theatre next week?,UNIT 8,Book 7
Are plays in the theatre interesting or boring?,UNIT 8,Book 7
Have you ever watched a play in the theatre?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Do you like reading?,UNIT 8,Book 7
Do you read books?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Are you interested in reading?,UNIT 8,Book 7
Do you have a book collection at home?,UNIT 8,Book 7
What book genre do you like reading?,UNIT 8,Book 7
Do you prefer audio books or normal books?,UNIT 8,Book 7
Do you prefer ebooks or normal books?,UNIT 8,Book 7
Do you read books to relax?,UNIT 8,Book 7
Do you buy books in a shop or online?,UNIT 8,Book 7
What set books are you reading in school?,UNIT 8,Book 7
Do you read books in English?,UNIT 8,Book 7
Is there a reading club in your school?,UNIT 8,Book 7
Would you like to join the reading club?,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
Are you a good or bad painter?,UNIT 8,Book 7
What does a painter do?,UNIT 8,Book 7
nan,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
What does a sculptor do?,UNIT 8,Book 7
Would you like to be a sculptor?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What is it?,UNIT 8,Book 7
What does a potter do?,UNIT 8,Book 7
Is pottery easy or difficult?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What does a graphic designer do?,UNIT 8,Book 7
What is he doing on the computer?,UNIT 8,Book 7
Would you like to be a graphic designer?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What does a tailor do?,UNIT 8,Book 7
What does the tailor do?,UNIT 8,Book 7
Would you like to be a tailor?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What is he wearing?,UNIT 8,Book 7
What does a jeweller do?,UNIT 8,Book 7
Do you have jewellery at home?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is she?,UNIT 8,Book 7
What is she doing?,UNIT 8,Book 7
What does a weaver do?,UNIT 8,Book 7
Is it easy or difficult to weave?,UNIT 8,Book 7
Is it easy or difficult to weave?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What does a photographer do?,UNIT 8,Book 7
What is he doing?,UNIT 8,Book 7
Would you like to be a photographer?,UNIT 8,Book 7
nan,UNIT 8,Book 7
Who is he?,UNIT 8,Book 7
What does a blacksmith do?,UNIT 8,Book 7
Is it dangerous or safe to be a blacksmith?,UNIT 8,Book 7
Should you be strong or weak to be a blacksmith?,UNIT 8,Book 7
